comment,level-1,level-2,level-3,Language_Category,
"Hm bihariyo  ko apni movie industry etc  banane k liye struggle krna chahiye ,, rojgar bhi paida hoga .......mumbai ki movies mumbai me hi release honi  chahiye .....bihar market me nahi",0,0,,Code-Mixed,Hinglish
Bihari Lauda🤏,1,3,Bihar,Code-Mixed,Hinglish
Bihar the land of labrors 😂😂,1,2,Bihar,Code-Mixed,Hinglish
Main bhi yaar Bihariyon se pareshan ho gaya tha I was traveling from Kanpur to my home city Prayagraj and Biharis were extremely loud in voice and lot of them already had sat on my reserved seat and almost harassed me with loud voice. I wanted to just get a window seat to sleep but then thankfully RPF constable came and removed them,1,2,Bihar,Code-Mixed,Hinglish
Bihari is great and great great great,1,1,Bihar,English,
1 bihari 100 bimari,1,2,Bihar,Code-Mixed,Hinglish
Ek bihari sau bimari,1,2,Bihar,Code-Mixed,Hinglish
1 Bihari 100 bimari 😂😂😂,1,2,Bihar,Code-Mixed,Hinglish
In partho ko panipat wala treatment dena chahiye phir se. Gaand chudi thi unki🤣🤣,0,0,,Transliterated,
Jai hind bhi gaali hai Kai rajyo mei. Naam Saf saf pata hai.,0,0,,Transliterated,
Sach hai inko Bihar  mai development krne chaea,0,0,,Code-Mixed,Hinglish
i agree with raj for first time 🤣🔥,0,0,,English,
"Meratha peoples are recist against south indians, bihari, mp and up peoples",1,3,"South-India, Bihar, Madhya Pradesh, Uttar Pradesh",English,
Meratha peoples are recist towards south indians and gujratis tooo lol,1,3,"Maharashtra, South-India, Gujarat",English,
Bihar hass mass migration and tbh Bihar ppl have no civic sense no basic behavior norr manner i think Bihari should vote based on development not on caste,1,2,Bihar,Transliterated,
Chote chote bcche b nihayti badtameej hote h bihar k....hum train m gye ...poora rasta kaatna mushkil kr diya....bhgwan bchaye...inse,1,2,Bihar,Code-Mixed,Hinglish
Abe marathi gujarat me kya kar raha hai phir  Marathi = ghaati Bihari log bahut marte hai isliye darr ke mare ye log bihar nahi jaate hai😂😂,0,0,,Code-Mixed,Hinglish
"100% agreed , bihari guys don’t get jobs in their birthplace . They go to other cities & create problems for others ….",1,2,Bihar,English,
"Guys I live in Kolkata there's tons of Biharis living here and I can say it's really 1 bihari 100 bimari cuz lack of civic sence and dada giri violence mindset... I was living on a different town in Rent bcz of my studies and my neighbours were Biharis always fighting with old land lady over tiny bit of things doing violence like breaking her door throwing trash through her window I myself faced many problems cuz of this illiterate Biharis they were thinking they were dada of that rent house and whole area while just living in 2000 rupees rent always like poking others with me by spitting infront of my door by will if I said anything they were like start throwing abusive language and start doing many more bad things , That personally builded hate inside me for Biharis ....",1,3,Bihar,Code-Mixed,Hinglish
Im bihari but tum log bihar me ayo na 90% rich and me bihar me he rhte ho 😛,0,0,,Code-Mixed,Hinglish
We don't want these shit Buharis,1,3,Bihar,English,
Boycott up and Bihar,1,3,Bihar,English,
Up and Bihar hell of India 😂😂😂😂😂,1,3,"Bihar, Uttar Pradesh",English,
Up and Bihar hub of Illiterate population 😂😂😂😂😂,1,3,"Bihar, Uttar Pradesh",English,
Up and Bihar cancer of India 😂😂😂😂😂😂,1,3,"Bihar, Uttar Pradesh",English,
😂bihari khud m@@@@@@d hai. ,1,3,Bihar,Transliterated,
Bhouji ki dupata ka picha bhag na wala apna apk masculine bole ta hai sala . Or wa dusra State ma jaka unki ladki sa shadi kare ta hai or apni ladki ko nahi dada dusra State ka ladka sa . Sala,0,0,,Code-Mixed,Hinglish
"Basically, we don't hate bihar. We hate bihari who are in Maharashtra",1,3,Bihar,English,
Ek din maharashtra bihar banega 😂 .. yeu dya bihari lokana 😂,0,0,,Transliterated,
Why you can’t get employment in Bihar ?,0,0,,English,
Migration nahi civics sences hai,0,0,,Code-Mixed,Hinglish
"UP , bihar and Jharkhand 3 states गरीब नाही है! भिकारी है! चोर है!",1,3,"Uttar Pradesh, Bihar, Jharkhand",Code-Mixed,Hinglish
trains ati h to tera kya jata h raj thakre... tu to apne sautele baap ki shadow bn kr rh gya😂,0,0,,Code-Mixed,Hinglish
"We're not against Bihari, don't misspread and don't defame Marathi people",0,0,,English,
Mumbai is mumbai today because of the businesses of gujjus and parsis. These poor and cheap working class marathis think they are the king of their own world. You can see such job slaves in the comments also😂,1,2,Maharashtra,English,
Bihari logon Ko Apne state ke bare mein bhi sochana chahie khud achcha Rahane se kuchh nahin hone wala,0,0,,Code-Mixed,Hinglish
राज थकरे को गाली देने वाले like करे।।😂😂😂,0,0,,Code-Mixed,Hinglish
Fucking looser buharis black don't come here in Maharastra okkk,1,3,Bihar,English,
48 trains aaye chahe 150 trains aaye iske baap ka kya jaata hai. Iska pesha yahi hai kya..isi se iske Ghar ka chulha jalta hai kya😊,0,0,,Code-Mixed,Hinglish
1 bihari 100 bimari 🤡. Bhaiyas always suck!,1,2,Bihar,Code-Mixed,Hinglish
CD Deshmukh of Maharashtra looted Uttar Pradesh for last 55 years through 5 year plan fund allocations. Raj Thackrey pehle humarey UP ka paisa wapas karey aur uske baad apni backchodi pele. 😡 Saley freight equilisation ke bhikari.,0,0,,Code-Mixed,Hinglish
Bihar ke log or Pura North India ek alag country ban sakta hai...fir development ho jaayega...India is a fake country....,0,0,,Code-Mixed,Hinglish
India se bihar hatao😂,1,2,Bihar,Code-Mixed,Hinglish
Don't speak about Jharkhand it is different from Bihar and it is still more developed than Bihar....If you are larger than don't speak bad about other states....,0,0,,English,
"1 bihari, 1 crore bimari... Yuckkkkk people",1,3,Bihar,English,
And this is reality😂but still stupid people are saying this is because of hate😂,0,0,,English,
Uttar Pradesh wale bhi tho Bihari ko gali ki tarah istemal karne lage ab aur Maine padha tha newspaper mein ki Lucknow mein bihariyon ko bhagaya Gaya ki Bihari Wale hamare Lucknow UP mein rojgar chin rahe hai aur abhi Uttar Pradesh second largest economy Ban chuki hai Yogi Adityanath govt hai aur up wale to bol rahe hain ki humko Bihar ke sath mat jodo,1,2,"Bihar, Uttar Pradesh",Transliterated,
"""It feels very strange to see how, even in this modern era, we Biharis are viewed in our own country. Yes, I know that there is a lack of civic sense in Bihar, the politicians are not right, and there aren't good institutions. However, despite all this, the people of Bihar are progressing, moving forward, and working hard. They are starting businesses without any facilities. But I also know that many educated and capable people who go to other states or countries for business do not identify themselves as Biharis. It feels really bad to see how, because of a few individuals, people across the country look down on Biharis. If you maintain such a mindset, how will Bihar progress? Let's all come together; we are part of you too. Give us the opportunity to open private limited companies in Bihar and help in economic growth; only then can we progress together.""",1,1,Bihar,English,
Bihar good people not like Delhi to Lahore.,1,1,Bihar,English,
"I am Marathi and I Respect UP and Bihar for its great history 🙏🏼  Maharashtra bhi kuchh kam nahi So mera matlab We shouldn't fight each other, unite these all and make India great again.  Jo piche rah gaye unko aage laane ki zimmedari unki hai jo aage hain. भाषावाद या जातीवाद karke sirf Partition hoga, Ek hain toh safe hain warna kangladesh hai",0,0,,Code-Mixed,Hinglish
Train भर के आ रही और भर के जा भी रही है। आधा। सच आधा झूठ मत बोलो। वैसे मै भी महाराष्ट्र आ रहा हु। 😂😂।,0,0,,Code-Mixed,Hinglish
He is correct,0,0,,English,
Biharis and Muslims both are curse for this country.,1,3,Bihar,English,
बिहारी पीपल की gandi नर होती है ladki की ऊपर,1,3,Bihar,Transliterated,
no seat for mns,0,0,,English,
🗣️Bihari 'illegal' hai india ka har State pe illegal tarikase rehte hai. 'Bangladeshi Miya jaisa hai Bihar ka Bihari bhi thik aisa he hai. Sobhi hamare indian ko Pus raha hu Jo Bihari illegal se rehta hai Unlogo ka illegal rehneka matlab kia hai. Kusto matlab hai aj To new generation hai aise koi illegal tarika se Rehneka Style atsa nehi hai. 'Rajtranta' time ka bat alag hai or 'Ganotranto' ka bat alag hai. Rajtranta ka time pe ye sab illegal type ka kam hota tha koi bat nehi par ajto 'Gonotontro' ho raha ye sob 'illegally' system kio. Jaise Example hamara Assam hai hamara Assam ke 'Tinsukia' name ka District pe Bihari 'illegal' tarike ke se hai. Kio aisa illegal hai Rendisut illegally ko Bhagayega ek din jorur Dora Dora ke pit pit ke Bhagayega tab illegal Bihariko pata salega.,1,3,Bihar,Code-Mixed,Hinglish
Ek bihari 100 bimari 😂,1,2,Bihar,Code-Mixed,Hinglish
Tujhe wakai kuch nehi peta,0,0,,Transliterated,
I am bihari but banke bihari vs universe,0,0,,Code-Mixed,Hinglish
Hmmm point bro America wale bhi yahi sochte or pata hai abhi kuch din pahle hi criminal ki tarah tum Indians ko laat maar ke bhagaya gaya tha or ha usme ek bhi bihari nahi tha oo sorry iss baat ko hide karna tha kya,0,0,,Code-Mixed,Hinglish
Same thing happening in delhi. Delhi gya kam se crime rate dekh lo ajj delhi ka,1,1,Delhi,Code-Mixed,Hinglish
But up has more migration than bihar for mumbai,0,0,,English,
Biharis Just increasing population of india,1,2,Bihar,Code-Mixed,Hinglish
1 bihari 100 bimari,1,2,Bihar,Code-Mixed,Hinglish
Ek bihari…100 bimari.,1,2,Bihar,Code-Mixed,Hinglish
1 Bihar 100 bi**ri 😅,1,2,Bihar,Code-Mixed,Hinglish
Biharis are shemless people,1,1,Bihar,English,
Bihar is potential state which needs development  Bihar is still recovering from Havoc of lalu n his dynasty  We all are brothers who needs to develop each n every corner of our country,0,0,,English,
